Tour,Description,Price
     Tapas por el Mercado de La Boquería y Santa Caterina   ,   Descubre la gastronomía catalanacon este tour de tapas por los dos mercados más representativos de Barcelona de la mano de un chef profesional. , 46 € 
     Paseo en goleta y visita a una bodega   ,   Disfruta de un paseo en velero por la costa de Barcelona con este tour que también incluye una visita por una bodega en la que podrás degustar varios caldos locales.   , 36 € 
     Paseo en goleta por Barcelona   ,   Relájate con un plácido paseo en goleta por la costa de Barcelona. La brisa del Mar Mediterráneo hará de esta travesía una experiencia realmente inolvidable.   , 125 € 
     Visita guiada por la Casa Vicens   ,   Adéntrate en los orígenes de la arquitectura gaudiniana con esta visita guiada por la primera obra del célebre arquitecto catalán: la Casa Vicens. ¡Sumérgete en el modernismo de Barcelona!   , 10 € 
     Excursión a los Pirineos   ,"   Aléjate de la vorágine urbana y disfruta de los bucólicos paisajes del Pirineo catalán en esta excursión en la que exploraremos el Valle de Núria, cuna de los deportes de montaña en Cataluña.   ", 30 € 
     Excursión a Cardona y Montserrat   ,"   Viaja hasta el siglo IX y adéntrate en los vestigios romanos del castillo de Cardona, una joya medieval muy próxima a Barcelona. ¡Visitarás unas minas de sal y degustarás tapas y vinos locales!   ", 73 € 
     Visita nocturna y espectáculo en La Pedrera   ,"   Vive una experiencia única con un espectáculo audiovisual en la Casa Milà,“La Pedrera”.En su visita nocturna descubrirás los secretos de esta gran obra modernista.   ", 95 € 
"     Tour por el barrio Gótico, el Museo Picasso y el Born   ","   Recorre Barcelona desde su época medieval hasta el siglo XX con esta visita por el barrio Gótico, el Museo Picasso y el Born. ¡Vive la arquitectura, pintura y gastronomía!   ", 34 € 
     Tour de 5 días por Andalucía y Toledo   ,"   Déjate cautivar por los contrastes entre Oriente y Ociddente y el legado de árabes, judíos y cristianos en las ciudades imprescindibles del sur de España: Córdoba, Sevilla, Granada y Toledo.   ", 35 € 
     Entradas para Maestros de la Guitarra   ,   Emociónate con la guitarra española y flamenca de la mano de los Maestros de la Guitarra. Un espectáculo para conocer las raíces de la música española. ¡Más de un millón de espectadores lo han disfrutado!   , 790 € 
     Excursión al parque acuático PortAventura Caribe   ,"   Disfruta de un día completo en lasatracciones del PortAventura Caribe, un parque acuático con vertiginosos toboganes, piscinas y zonas de juego para toda la familia.   ", 23 € 
     Excursión privada desde Barcelona   ,"   La Costa Brava, Tossa de Mar, Montserrat… Disfruta de los encantos de los alrededores de Barcelona con esta excursión privada con un guía en exclusiva sólo para ti y tus acompañantes.   ", 40 € 
     Barcelona Pass Modernista   ,"   La tarjeta Barcelona Pass Modernista permite el acceso gratuito a más de 15 monumentos y edificios modernistas de Barcelona, incluyendo la Casa Amatller, el Palau de la Música o Casa Vicens.   ", por grupo 245 € 
     Excursión a Montserrat de día completo   ,"   Peregrinos, Leonardo Da Vinci, los nazis… Descubre por qué les fascinó la abadía de Montserrat con esta excursión desde Barcelona. ¡Incluye un almuerzo tradicional!   ", 81 € 
     Tour en bicicleta eléctrica por Barcelona   ,"   Recorrer Barcelona en bici es una experiencia divertida, única y original. La ciudad es llana y cada día son más las personas que utilizan la bicicleta para moverse por Barcelona.   ", 79 € 
     Entrada a Colonia Güell   ,   Adéntrate en una de las obras arquitectónicas de Gaudí más desconocidas. La Cripta de Gaudí goza de una belleza impresionante en un entorno con un importante patrimonio histórico artístico.   , 33 € 
     Tour en Vespa por Barcelona   ,   Súbete a bordo de nuestras Vespas y recorre Barcelona a tu aire o siguiendo las rutas que te hemos planeado en nuestro GPS. Disfruta de esta forma única de visitar ciudad.   , 9 € 
     Visita guiada por el Camp Nou   ,"   Recorre junto a un guía experto en fútbol el Camp Nou, estadio de uno de los mejores equipos de los últimos años: el FC Barcelona.  ", por grupo 45 € 
     Tour por las maravillas de Gaudí   ,"   En este tour visitaremos el Parque Güell, laSagrada Familia, La Pedrera y la Casa Batlló. ¡Las cuatro obras maestras de Gaudíenun solo día y saltándonos las colas!   ", 50 € 
     Excursión a Lloret y Tossa de Mar   ,"   Contrapuestos y complementarios, en este tour descubriremos los dos pueblos que representan la esencia de la Costa Brava: Lloret de Mar y Tossa de Mar. También daremos un paseo en barco.   ", 77 € 
     Excursión a la Costa Brava   ,"   En este tour descubriréis los lugares más representativos y fascinantes de la Costa Brava. Nos detendremos en lugares como Calella de Palafrugell, Llafranc, Pals, Estartit y Ampurias.   ", 55 € 
     Articket Barcelona   ,   La tarjeta Articket Barcelona te permite acceder a los 6 mejores museos de arte de Barcelona sin necesidad de comprar entrada ni esperar largas colas. ¡Imprescindible!   , 84 € 
     Visita guiada por el barrio de El Raval   ,   En cada esquina de El Raval se puede apreciar su variedad de contrastes. Conoce las particularidades de este barrio alternativo de Barcelona con nuestro tour en español.   , 30 € 
     Paseo en barco por las playas de Barcelona   ,"   En este tour admiraremos el litoral de Barcelona desde barco pirata. Veremos el Port Vell, el Puerto Olímpico y las playas de la ciudad.   ", 15 € 
     Tour de La Catedral del Mar   ,"   Adéntrate en la Barcelona medieval visitando los escenarios donde se ambienta la trama de “La catedral del mar”, una de las obras más populares de Ildefonso Falcones.   ", 18 € 
     Tour por el Barrio Gótico y el Palau Güell   ,   Descubre los secretos del Barrio Gótico de Barcelona con este tour que también incluye la visita por una de las obras clave de Antonio Gaudí: el Palau Güell.  , 14 € 
     Tour por Barcelona en Ferrari o Lamborghini   ,   ¿Te apasiona el mundo del motor? Vive la experiencia única de pilotar un automóvil deportivo. ¡La conducción como nunca antes la habías sentido en la Ciudad Condal!   , 30 € 
     Alquiler de motos en Barcelona   ,   Recorre todos los barrios de Barcelona con nuestro alquiler de motos al mejor precio. Te olvidarás del estrés de buscar aparcamiento y de los atascos. ¡La mejor forma de moverse por Barcelona!   , por grupo 119 € 
     Visita guiada por la Puerta del Ángel   ,   En esta visita guiada recorreremos una de las avenidas más importantes de Barcelona: la Puerta del Ángel. Conocerás la leyenda de San Vicente Ferrer y te adentrarás en la iglesia de Santa Ana.   , 38 € 
     Tour de los fantasmas de Barcelona   ,"   Merodean errantes, vagando atormentados por las calles. Son los fantasmas de Barcelona: conocesus historias con este paseo nocturno por la Ciudad Condal.   "," 14,5 € "
     Tour en moto por Barcelona   ,   ¡Disfruta del encanto de Barcelona en una cómoda scooter! Recorrerás los lugares más famosos de la Ciudad Condal de forma diferente siguiendo las indicaciones del guía en español. ¿Vamos?   , 12 € 
     Entrada a Catalunya en Miniatura   ,"   ¿Quieres ver los monumentos más famosos de Cataluña de una forma original? Con la entrada a Catalunya en Miniatura, darás un divertido paseo por maquetas de la Sagrada Familia o el Tibidabo.   ", 54 € 
,," 11,5 € "
